rcID,lsoa11cd,distance
RC_EW_2713,E01006817,29920
RC_EW_2713,E01006818,29605
RC_EW_2713,E01006819,29785
RC_EW_2713,E01006820,29987
RC_EW_2713,E01006821,30137
RC_EW_2713,E01006822,24483
RC_EW_2713,E01006823,22608
RC_EW_2713,E01006824,23849
RC_EW_2713,E01006825,22761
RC_EW_2713,E01006826,24212
RC_EW_2713,E01006827,28532
RC_EW_2713,E01006828,24528
RC_EW_2713,E01006829,25752
RC_EW_2713,E01006830,25672
RC_EW_2713,E01006831,26917
RC_EW_2713,E01006832,25986
RC_EW_2713,E01006833,26064
RC_EW_2713,E01006834,25814
RC_EW_2713,E01006835,26859
RC_EW_2713,E01006836,31881
RC_EW_2713,E01006837,29706
RC_EW_2713,E01006838,29870
RC_EW_2713,E01006839,32115
RC_EW_2713,E01006840,30496
RC_EW_2713,E01006841,29738
RC_EW_2713,E01006842,31453
RC_EW_2713,E01006843,28864
RC_EW_2713,E01006844,31542
RC_EW_2713,E01006845,30724
RC_EW_2713,E01006846,30027
RC_EW_2713,E01006847,30194
RC_EW_2713,E01006848,30976
RC_EW_2713,E01006849,25773
RC_EW_2713,E01006850,26415
RC_EW_2713,E01006851,25349
RC_EW_2713,E01006852,26600
RC_EW_2713,E01006853,25981
RC_EW_2713,E01006854,26484
RC_EW_2713,E01006855,26098
RC_EW_2713,E01006856,43000
RC_EW_2713,E01006857,37627
RC_EW_2713,E01006858,39613
RC_EW_2713,E01006859,34831
RC_EW_2713,E01006860,39263
RC_EW_2713,E01006861,39383
RC_EW_2713,E01006862,39163
RC_EW_2713,E01006863,34858
RC_EW_2713,E01006864,34610
RC_EW_2713,E01006865,32958
RC_EW_2713,E01006866,33077
RC_EW_2713,E01006867,34486
RC_EW_2713,E01006868,33521
RC_EW_2713,E01006869,33097
RC_EW_2713,E01006870,26222
RC_EW_2713,E01006871,31394
RC_EW_2713,E01006872,30742
RC_EW_2713,E01006873,27087
RC_EW_2713,E01006874,31036
RC_EW_2713,E01006875,31344
RC_EW_2713,E01006876,24787
RC_EW_2713,E01006877,25117
RC_EW_2713,E01006878,25857
RC_EW_2713,E01006879,25136
RC_EW_2713,E01006880,25422
RC_EW_2713,E01006881,25742
RC_EW_2713,E01006882,25403
RC_EW_2713,E01006883,27225
RC_EW_2713,E01006884,24127
RC_EW_2713,E01006885,26506
RC_EW_2713,E01006886,27995
RC_EW_2713,E01006887,26175
RC_EW_2713,E01006888,25560
RC_EW_2713,E01006889,25087
RC_EW_2713,E01006890,27629
RC_EW_2713,E01006891,23236
RC_EW_2713,E01006892,27561
RC_EW_2713,E01006893,26861
RC_EW_2713,E01006894,26318
RC_EW_2713,E01006895,26316
RC_EW_2713,E01006896,29477
RC_EW_2713,E01006897,30974
RC_EW_2713,E01006898,29147
RC_EW_2713,E01006899,32593
RC_EW_2713,E01006900,31370
RC_EW_2713,E01006901,29546
RC_EW_2713,E01006903,26500
RC_EW_2713,E01006904,26201
RC_EW_2713,E01006905,28903
RC_EW_2713,E01006906,26750
RC_EW_2713,E01006907,29075
RC_EW_2713,E01006908,28398
RC_EW_2713,E01006909,28277
RC_EW_2713,E01006910,27079
RC_EW_2713,E01006911,28077
RC_EW_2713,E01006912,28604
RC_EW_2713,E01006913,27883
RC_EW_2713,E01006914,21447
RC_EW_2713,E01006915,24957
RC_EW_2713,E01006916,24150
RC_EW_2713,E01006917,23547
RC_EW_2713,E01006918,24904
RC_EW_2713,E01006919,25067
RC_EW_2713,E01006920,29731
RC_EW_2713,E01006921,29871
RC_EW_2713,E01006922,29902
RC_EW_2713,E01006923,28758
RC_EW_2713,E01006924,29030
RC_EW_2713,E01006925,31261
RC_EW_2713,E01006926,31381
RC_EW_2713,E01006927,30519
RC_EW_2713,E01006928,33488
RC_EW_2713,E01006929,33194
RC_EW_2713,E01006930,33026
RC_EW_2713,E01006931,32702
RC_EW_2713,E01006932,32126
RC_EW_2713,E01006933,32503
RC_EW_2713,E01006934,34166
RC_EW_2713,E01006935,33517
RC_EW_2713,E01006936,17234
RC_EW_2713,E01006937,16158
RC_EW_2713,E01006938,17447
RC_EW_2713,E01006939,15765
RC_EW_2713,E01006940,16192
RC_EW_2713,E01006941,15716
RC_EW_2713,E01006942,15524
RC_EW_2713,E01006943,16128
RC_EW_2713,E01006944,40896
RC_EW_2713,E01006945,40314
RC_EW_2713,E01006946,43123
RC_EW_2713,E01006947,43537
RC_EW_2713,E01006948,42296
RC_EW_2713,E01006949,41757
RC_EW_2713,E01006950,40614
RC_EW_2713,E01006951,37493
RC_EW_2713,E01006952,12970
RC_EW_2713,E01006953,12576
RC_EW_2713,E01006954,14782
RC_EW_2713,E01006955,14327
RC_EW_2713,E01006956,13844
RC_EW_2713,E01006957,13273
RC_EW_2713,E01006958,14395
RC_EW_2713,E01006959,13903
RC_EW_2713,E01006960,10082
RC_EW_2713,E01006961,9310
RC_EW_2713,E01006962,9558
RC_EW_2713,E01006963,9279
RC_EW_2713,E01006964,10898
RC_EW_2713,E01006965,10651
RC_EW_2713,E01006966,10583
RC_EW_2713,E01006967,10537
RC_EW_2713,E01006968,38851
RC_EW_2713,E01006969,39958
RC_EW_2713,E01006970,38972
RC_EW_2713,E01006971,36172
RC_EW_2713,E01006972,37689
RC_EW_2713,E01006973,35957
RC_EW_2713,E01006974,35151
RC_EW_2713,E01006976,13575
RC_EW_2713,E01006977,13666
RC_EW_2713,E01006978,13303
RC_EW_2713,E01006979,14951
RC_EW_2713,E01006980,14974
RC_EW_2713,E01006981,13583
RC_EW_2713,E01006982,14128
RC_EW_2713,E01006983,13927
RC_EW_2713,E01006984,13826
RC_EW_2713,E01006985,29644
RC_EW_2713,E01006986,29321
RC_EW_2713,E01006987,28591
RC_EW_2713,E01006988,26982
RC_EW_2713,E01006989,29269
RC_EW_2713,E01006990,27862
RC_EW_2713,E01006991,28315
RC_EW_2713,E01006992,27083
RC_EW_2713,E01006993,28619
RC_EW_2713,E01006994,36892
RC_EW_2713,E01006995,36034
RC_EW_2713,E01006996,36794
RC_EW_2713,E01006997,36791
RC_EW_2713,E01006998,36663
RC_EW_2713,E01006999,35443
RC_EW_2713,E01007000,36342
RC_EW_2713,E01007001,36188
RC_EW_2713,E01007002,36055
RC_EW_2713,E01007003,11998
RC_EW_2713,E01007004,13550
RC_EW_2713,E01007005,14371
RC_EW_2713,E01007006,12458
